country,sites
United States,102833
France,11668
Canada,6946
Italy,5381
Mexico,3537
Spain,2584
Netherlands,2421
Germany,2197
United Kingdom,2184
India,2098
Croatia,1900
South Africa,1777
Greece,1682
Sweden,936
Switzerland,794
Poland,747
Haiti,716
Austria,494
Hungary,407
Finland,368
New Zealand,320
Denmark,285
Uganda,215
Uruguay,212
Lithuania,210
Cyprus,188
Czechia,175
Portugal,153
Belgium,149
Ethiopia,148
Ireland,146
Slovenia,62
Ghana,60
Romania,49
Peru,47
Estonia,46
Latvia,44
Luxembourg,39
Slovakia,36
Honduras,34
Madagascar,21
Albania,19
Zambia,11
Bolivia,10
Bulgaria,7
Rwanda,7
Nepal,6
Sierra Leone,3
Mozambique,3
Eswatini,3
Dominican Republic,2
Nigeria,2
Myanmar,1
