Entity,Code,Year,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene from diarrhoea, intestinal nematode infections, malnutrition and acute respiratory infections (deaths per 100,000 population)"
Afghanistan,AFG,2019,16.64
Algeria,DZA,2019,4.05
Angola,AGO,2019,48.85
Antigua and Barbuda,ATG,2019,2.47
Argentina,ARG,2019,11.45
Armenia,ARM,2019,5.83
Asia (UN),UN_ASI,2019,17.01
Australia,AUS,2019,1.87
Australia and New Zealand (UN SDG),UNSDG_ANZ,2019,1.91
Austria,AUT,2019,1.98
Azerbaijan,AZE,2019,3.64
Bahamas,BHS,2019,2.6
Bahrain,BHR,2019,0.78
Bangladesh,BGD,2019,18.23
Barbados,BRB,2019,7.71
Belarus,BLR,2019,1.62
Belgium,BEL,2019,5.31
Belize,BLZ,2019,4.31
Benin,BEN,2019,60.18
Bhutan,BTN,2019,15.67
Bolivia,BOL,2019,14.27
Bosnia and Herzegovina,BIH,2019,1.93
Botswana,BWA,2019,26.85
Brazil,BRA,2019,6.61
Brunei,BRN,2019,1.68
Bulgaria,BGR,2019,2.89
Burkina Faso,BFA,2019,60.91
Burundi,BDI,2019,53.25
Cambodia,KHM,2019,17.13
Cameroon,CMR,2019,47.26
Canada,CAN,2019,2.29
Cape Verde,CPV,2019,12.11
Central African Republic,CAF,2019,97.01
Central and Southern Asia (UN SDG),UNSDG_CSA,2019,31.6
Chad,TCD,2019,99.2
Chile,CHL,2019,2.26
China,CHN,2019,2.2
Colombia,COL,2019,3.39
Comoros,COM,2019,43.85
Congo,COG,2019,26.38
Costa Rica,CRI,2019,2.87
Cote d'Ivoire,CIV,2019,46.95
Croatia,HRV,2019,2.69
Cuba,CUB,2019,9.73
Cyprus,CYP,2019,1.6
Czechia,CZE,2019,4.07
Democratic Republic of Congo,COD,2019,52.28
Denmark,DNK,2019,4.14
Djibouti,DJI,2019,37.57
Dominican Republic,DOM,2019,5.78
East Timor,TLS,2019,20.43
Eastern and South-Eastern Asia (UN SDG),UNSDG_ESEA,2019,5.98
Ecuador,ECU,2019,4.69
Egypt,EGY,2019,4.81
El Salvador,SLV,2019,6.13
Equatorial Guinea,GNQ,2019,29.73
Eritrea,ERI,2019,66.53
Estonia,EST,2019,2.59
Eswatini,SWZ,2019,46.45
Ethiopia,ETH,2019,40.68
Europe (UN),UN_EUR,2019,3.71
Europe and Northern America (UN SDG),UNSDG_ENA,2019,3.23
Fiji,FJI,2019,10.8
Finland,FIN,2019,0.79
France,FRA,2019,3.37
Gabon,GAB,2019,17.49
Gambia,GMB,2019,29.53
Georgia,GEO,2019,3.35
Germany,DEU,2019,3.17
Ghana,GHA,2019,25.16
Greece,GRC,2019,7.63
Grenada,GRD,2019,6.68
Guatemala,GTM,2019,15.27
Guinea,GIN,2019,57.76
Guinea-Bissau,GNB,2019,49.45
Guyana,GUY,2019,8.57
Haiti,HTI,2019,25.94
Honduras,HND,2019,7.13
Hungary,HUN,2019,2.02
Iceland,ISL,2019,2.36
India,IND,2019,36.43
Indonesia,IDN,2019,15.82
Iran,IRN,2019,2.92
Iraq,IRQ,2019,4.44
Ireland,IRL,2019,2.71
Israel,ISR,2019,2.05
Italy,ITA,2019,3.01
Jamaica,JAM,2019,2.29
Japan,JPN,2019,8.43
Jordan,JOR,2019,1.94
Kazakhstan,KAZ,2019,3.22
Kenya,KEN,2019,29.04
Kiribati,KIR,2019,37.37
Kuwait,KWT,2019,0.79
Kyrgyzstan,KGZ,2019,2.31
Laos,LAO,2019,20.52
Latin America and the Caribbean (UN SDG),UNSDG_LAC,2019,6.51
Latin America and the Caribbean (UN),UN_LAC,2019,6.51
Latvia,LVA,2019,2.63
Least Developed Countries (LDCs),,2019,36.19
Lebanon,LBN,2019,2.39
Lesotho,LSO,2019,108.06
Liberia,LBR,2019,34.62
Libya,LBY,2019,2.15
Lithuania,LTU,2019,2.61
Luxembourg,LUX,2019,1.88
Madagascar,MDG,2019,40.06
Malawi,MWI,2019,30.81
Malaysia,MYS,2019,14.41
Maldives,MDV,2019,2.29
Mali,MLI,2019,66.12
Malta,MLT,2019,4.59
Mauritania,MRT,2019,37.79
Mauritius,MUS,2019,5.47
Mexico,MEX,2019,3.54
Micronesia (country),FSM,2019,14.04
Moldova,MDA,2019,3.57
Mongolia,MNG,2019,3.16
Montenegro,MNE,2019,1.83
Morocco,MAR,2019,4.55
Mozambique,MOZ,2019,45.56
Myanmar,MMR,2019,12.9
Namibia,NAM,2019,28.81
Nepal,NPL,2019,17.8
Netherlands,NLD,2019,3.37
New Zealand,NZL,2019,2.12
Nicaragua,NIC,2019,3.5
Niger,NER,2019,70.26
Nigeria,NGA,2019,71.73
North Korea,PRK,2019,4.1
North Macedonia,MKD,2019,1.04
Northern Africa and Western Asia (UN SDG),UNSDG_NAWA,2019,5.38
Northern America (UN),UN_NAM,2019,2.26
Norway,NOR,2019,3.61
Oceania (UN SDG),UNSDG_OC,2019,23.79
Oceania (UN),UN_OCE,2019,7.85
Oman,OMN,2019,1.6
Pakistan,PAK,2019,38.8
Panama,PAN,2019,4.24
Papua New Guinea,PNG,2019,24.88
Paraguay,PRY,2019,4.65
Peru,PER,2019,7.59
Philippines,PHL,2019,16.87
Poland,POL,2019,5.4
Portugal,PRT,2019,6.76
Qatar,QAT,2019,0.42
Romania,ROU,2019,7.2
Russia,RUS,2019,3.25
Rwanda,RWA,2019,25
Saint Lucia,LCA,2019,5.81
Saint Vincent and the Grenadines,VCT,2019,5.25
Samoa,WSM,2019,8.18
Sao Tome and Principe,STP,2019,16.65
Saudi Arabia,SAU,2019,1.93
Senegal,SEN,2019,31.75
Serbia,SRB,2019,3.86
Seychelles,SYC,2019,8.35
Sierra Leone,SLE,2019,69.54
Singapore,SGP,2019,8.49
Slovakia,SVK,2019,3.62
Slovenia,SVN,2019,1.9
Small Island Developing States (SIDS),,2019,15.31
Solomon Islands,SLB,2019,32.68
Somalia,SOM,2019,99.19
South Africa,ZAF,2019,27.59
South Korea,KOR,2019,5.2
South Sudan,SSD,2019,68.08
Spain,ESP,2019,3.17
Sri Lanka,LKA,2019,4.83
Sub-Saharan Africa (UN SDG),UNSDG_SSA,2019,49.16
Sudan,SDN,2019,15.78
Suriname,SUR,2019,7.1
Sweden,SWE,2019,3.04
Switzerland,CHE,2019,2.53
Syria,SYR,2019,9.14
Tajikistan,TJK,2019,9
Tanzania,TZA,2019,30.21
Thailand,THA,2019,11.8
Togo,TGO,2019,42.41
Tonga,TON,2019,7.1
Trinidad and Tobago,TTO,2019,1.61
Tunisia,TUN,2019,3.13
Turkey,TUR,2019,2.48
Turkmenistan,TKM,2019,5.66
Uganda,UGA,2019,28.09
Ukraine,UKR,2019,2.34
United Arab Emirates,ARE,2019,0.85
United Kingdom,GBR,2019,6.11
United States,USA,2019,2.26
Uruguay,URY,2019,4.44
Uzbekistan,UZB,2019,2.9
Vanuatu,VUT,2019,25.02
Venezuela,VEN,2019,5.17
Vietnam,VNM,2019,6.92
World,OWID_WRL,2019,18.21
Yemen,YEM,2019,15.64
Zambia,ZMB,2019,35.77
Zimbabwe,ZWE,2019,36.2
