"country","n_obs","n_sites_id","n_locations","min_date","max_date","sources"
"United States",4923012,115821,112838,1898-02-22,2025-09-18,"WQP, GEMStat"
"France",765790,15965,29219,1971-01-06,2026-02-09,"Hub'Eau, Eionet"
"United Kingdom",558764,4276,3808,2000-01-05,2026-03-26,"UK Open WIMS, Eionet"
"Canada",412471,9050,8704,1970-01-12,2026-03-31,"DataStream, GEMStat"
"Spain",388119,5375,5375,2013-02-18,2021-11-22,"Eionet"
"Mexico",268659,5641,5687,2010-01-12,2021-12-03,"WQP, GEMStat, WPdx"
"Germany",259512,2800,2834,2011-03-28,2020-09-22,"Eionet"
"Denmark",216536,2591,3489,2008-05-02,2019-09-13,"Eionet"
"South Africa",167521,1819,1808,1986-01-21,2024-08-21,"NMMP"
"Croatia",149897,2895,2903,2011-05-16,2020-10-01,"Eionet"
"Greece",127266,3119,3120,2011-05-19,2021-10-24,"Eionet"
"Netherlands",126340,2775,2799,2011-02-28,2020-09-29,"Eionet"
"Italy",122567,8150,8150,2011-04-04,2021-12-21,"Eionet"
"India",106324,2098,2088,1973-09-17,2021-12-07,"GEMStat"
"New Zealand",67129,623,623,2019-06-24,2025-04-30,"LAWA"
"Belgium",53312,191,194,2008-03-26,2021-09-21,"Eionet"
"Malta",37247,174,174,2008-05-05,2021-10-20,"Eionet"
"Sweden",36796,1082,1424,2011-05-16,2020-08-20,"Eionet"
"Poland",33130,855,1352,2011-06-07,2021-09-15,"Eionet"
"Ireland",30041,164,455,2011-05-23,2021-09-15,"Eionet"
"Finland",28086,381,381,2001-05-31,2021-08-31,"Eionet"
"Austria",21853,494,761,2012-05-04,2020-08-31,"Eionet"
"Czechia",21765,175,177,2008-05-19,2021-09-06,"Eionet"
"Portugal",20383,779,779,2010-05-10,2017-10-11,"Eionet"
"Hungary",18169,407,467,2008-04-14,2019-12-09,"Eionet"
"Cyprus",15386,301,329,2012-04-24,2021-10-22,"Eionet"
"Lithuania",14962,226,236,2011-05-16,2020-09-18,"Eionet"
"Switzerland",12713,794,806,2011-05-10,2020-09-28,"Eionet"
"Uruguay",7331,212,212,2003-03-01,2023-08-02,"GEMStat"
"Latvia",7303,63,63,2011-05-09,2021-09-06,"Eionet"
"Slovenia",7191,62,93,2011-05-26,2021-09-07,"Eionet"
"Estonia",6611,81,81,2008-05-20,2021-08-31,"Eionet"
"Haiti",5579,0,5512,2014-05-28,2017-12-10,"WPdx"
"Slovakia",4488,36,66,2011-05-16,2021-09-07,"Eionet"
"Albania",4260,127,128,2017-05-16,2021-09-29,"Eionet"
"Bulgaria",3242,104,104,2001-09-15,2911-09-15,"Eionet"
"Montenegro",1826,77,77,2011-05-23,2011-10-04,"Eionet"
"Luxembourg",789,39,39,2011-04-22,2021-08-30,"Eionet"
"Romania",700,50,50,2021-05-17,2021-09-14,"Eionet"
"Uganda",562,0,560,2014-11-20,2022-12-05,"WPdx"
"Ethiopia",352,0,352,2020-06-15,2022-12-07,"WPdx"
"Ghana",335,0,335,2017-10-25,2022-05-11,"WPdx"
"Sierra Leone",304,0,304,2009-02-28,2019-05-16,"WPdx"
"Vanuatu",124,0,124,2017-01-09,2017-09-30,"WPdx"
"Peru",47,0,47,2021-01-06,2021-06-05,"WPdx"
"Zambia",45,0,41,2019-01-08,2022-04-19,"WPdx"
"Burkina Faso",34,0,34,2019-04-25,2021-04-01,"WPdx"
"Honduras",34,0,34,2021-01-06,2021-12-05,"WPdx"
"Nigeria",25,0,25,2019-09-25,2020-10-16,"WPdx"
"Madagascar",21,0,21,2019-04-12,2020-04-22,"WPdx"
"Mozambique",19,0,19,2019-01-10,2019-11-26,"WPdx"
"Bolivia",10,0,10,2021-06-18,2021-06-29,"WPdx"
"Eswatini",8,0,8,2020-02-28,2020-06-05,"WPdx"
"Nepal",8,0,8,2019-02-10,2020-07-04,"WPdx"
"Rwanda",7,0,7,2019-09-30,2020-02-19,"WPdx"
"Dominican Republic",3,0,3,2016-08-09,2016-09-21,"WPdx"
"Liberia",3,0,3,2020-02-05,2021-12-04,"WPdx"
"Malawi",3,0,3,2022-04-18,2022-06-13,"WPdx"
"Myanmar",3,0,3,2023-01-24,2023-01-24,"WPdx"
"Mali",2,0,2,2020-04-25,2020-04-25,"WPdx"
