source,status,dataset,n_records,country_region,organization,retrieval_method,data_portal,indicators,temporal_range,status_reason,notes
WQP,included,harmonized.feather,4901716,United States (+ territories),US Water Quality Portal (USGS/EPA),"API: dataRetrieval R pkg, ResultWQX3 'narrow' profile; large states chunked by county","https://www.waterqualitydata.us","E. coli, fecal coliform, total coliform, enterococci, fecal strep, E. coli O157, EHEC, Bacteroidetes","all available (no date filter at retrieval)",Largest source; full automated pipeline,"Surface water/estuary media only; drops records lacking standardized lat/lon; default state 'USA' when missing"
Eionet,included,harmonized.feather,2448202,EU/EEA (multi-country),European Environment Agency - EIONET CDR (Bathing Water Directive),"Web scrape of CDR reporting envelopes + XML/GML file download","https://cdr.eionet.europa.eu","E. coli, intestinal enterococci","post-2000 (raw concentrations ~2006+)",EEA Bathing Water Directive reporting,"Required heavy coordinate repair (longitude sign flips, projected-CRS rescue, Catalonia/prime-meridian fixes)"
UK Open WIMS,included,harmonized.feather,495119,United Kingdom,UK Environment Agency Water Quality Archive,"REST API (paged, determinand-code filters)","https://environment.data.gov.uk/water-quality","E. coli, fecal coliform, total coliform, intestinal enterococci",2000-present,Open WIMS archive,"Filenames say 'uk_bwq' (legacy) but source label is 'UK Open WIMS'; British National Grid coords reprojected to WGS84"
GEMStat,included,harmonized.feather,412067,Global (ex-USA),UN Environment GEMS/Water Programme,"Manual download (Zenodo curated CSV release)","https://zenodo.org/records/14230628","E. coli, total coliform, fecal coliform, fecal strep, intestinal enterococci",historical (varies by basin),Manually assembled basin-by-basin (Africa/S.America/Asia/Europe/Canada),USA GEMStat deliberately excluded (covered by WQP)
DataStream,included,harmonized.feather,403952,Canada,The Gordon Foundation - DataStream,"API: datastreamr R pkg (free API key); chunked by region & year","https://datastream.org","E. coli, fecal coliform, total coliform, enterococci",1970-present,Canadian open WQX-format network,"Resolves the earlier 'Canada missing' gap noted in sources.txt; default state 'Canada' when missing"
NMMP,included,harmonized.feather,167521,South Africa,Dept. of Water & Sanitation - National Microbial Monitoring Programme,Manual download (government CSV),"https://www.dws.gov.za","E. coli, fecal coliform",through 2024 (extracted 2024-08-27),National microbial monitoring data,Merged 'surface water sites' + 'hotspots' variants
Hub'Eau,included,harmonized.feather,151723,France (+ overseas departments),French Ministry of Ecology - Naiades via Hub'Eau,"API: hubeau R pkg; chunked by year/month (20k row cap)","https://hubeau.eaufrance.fr","E. coli, total coliform, fecal coliform",1971-present,French river water-quality API,Intestinal enterococci & fecal strep available but not retrieved
LAWA,included,harmonized.feather,67129,New Zealand,Land Air Water Aotearoa,Manual Excel download (automated Hilltop retrieval abandoned),"https://www.lawa.org.nz/download-data","E. coli, intestinal enterococci, fecal coliform, total coliform",~2019-2025,Recreational water-quality monitoring (CC BY 4.0),"Automated per-council Hilltop API failed (15 of 16 endpoints); manual file used instead"
WPdx,included,harmonized.feather,7590,Global (developing-country water points),Water Point Data Exchange,Manual bulk CSV download,"https://data.waterpointdata.org","fecal coliform",snapshot 2025-11-14,Crowd/agency water-point survey data,"Only 7,590 of millions of water points carry a fecal coliform value"
ANA (annual),included,harmonized_annual.feather,14853,Brazil,Agencia Nacional de Aguas e Saneamento Basico,Manual CSV download (pre-aggregated),"https://dados.gov.br","E. coli",through 2020,Only annual summary statistics publicly available,"Stored separately: schema is year/min/max/med (NOT individual observations)"
ANA (full / sub-annual),excluded_known,,,Brazil,Agencia Nacional de Aguas - SNIRH/HIDROWEB Telemetria,Attempted SOAP/XML web service (abandoned),"http://telemetriaws1.ana.gov.br","E. coli (intended)",,API deprecated + access-walled (HTTP 500; new API needs registration) and serves only hydrology not water quality,Replaced by the annual-summary route above
Australia (Queensland WMIP),excluded_known,,,Australia (Queensland),Qld Water Monitoring Information Portal (Kisters KiWIS/WISKI),Attempted KiWIS API (abandoned),"https://water-monitoring.information.qld.gov.au","E. coli, enterococci, coliforms (intended)",,Access wall; no national portal,Australia entirely absent from final dataset
Waterbase,excluded_known,,,EU/EEA (multi-country),European Environment Agency - WISE Waterbase,Exploratory only,"https://www.eea.europa.eu/data-and-maps/data/waterbase-water-quality","(coliforms)",,Exploratory/dead code superseded by Eionet; munge script writes to gemstat output and produces no rows,EEA coverage achieved via Eionet instead
EEA Bathing Water (pre-2006),excluded_known,,,EU/EEA,EEA / Discodata (WISE),Not ingested,"https://discodata.eea.europa.eu","total/fecal coliform",pre-2006,Stores compliance classifications not raw concentrations; not digitized before 2006; coliforms not E. coli,Eionet only covers post-2000/2006
China (ESSD dataset),excluded_known,,,China,ESSD research dataset (Ministry of Ecology & Environment),Not ingested,"https://essd.copernicus.org","fecal coliform",,Only monthly averages (aggregated), FC-only; no point observations,China essentially absent (sharing gap)
India (CPCB NWMP),excluded_known,,,India,Central Pollution Control Board - National Water Monitoring Programme,Not ingested,"https://cpcb.nic.in","E. coli (minimal)",pre-2010 monthly avg,Access wall; mostly monthly averages; minimal E. coli,Only a tiny slice present via GEMStat
Colombia (RNMCA),excluded_unknown,,,Colombia,IDEAM - Red Nacional de Monitoreo de Calidad del Agua,Not attempted,"http://www.ideam.gov.co","unknown",,Listed as a candidate in todo; never pursued; no documented reason,Candidate for future inclusion
APMP Water Quality Database,excluded_unknown,,,Asia-Pacific,Asia-Pacific Metrology Programme,Not attempted,,"unknown",,Listed as a candidate in todo; never pursued; no documented reason,Candidate for future inclusion
