"state","n"
"France",765790
"USA",618977
"California",595941
"England",495119
"Florida",442619
"Canada",412471
"Spain",388119
"New Jersey",313480
"Mexico",268515
"Germany",259512
"Denmark",216536
"Minnesota",199331
"Virginia",195161
"South Africa",167521
"Croatia",149897
"Georgia",146883
"New York",146310
"South Carolina",145163
"Oregon",142725
"Utah",133839
"Greece",127266
"Netherlands",126340
"Italy",122567
"Wisconsin",112108
"India",106324
"Kansas",102192
"Missouri",101014
"North Carolina",100263
"Washington",94159
"Michigan",84158
"Iowa",79484
"South Dakota",77608
"Texas",77534
"Pennsylvania",76338
"New Zealand",67129
"New Hampshire",65818
"United_kingdom",63645
"Alabama",63519
"North Dakota",60015
"Louisiana",53708
"Colorado",53383
"Belgium",53312
"Illinois",52960
"Arkansas",48919
"Ohio",48230
"Connecticut",39956
"Malta",37247
"Sweden",36796
"Nebraska",36572
"Puerto Rico",35892
"Massachusetts",34350
"Oklahoma",34173
"Poland",33130
"Maryland",31108
"Ireland",30041
"Idaho",29694
"Mississippi",29027
"Finland",28086
"New Mexico",22993
"Austria",21853
"Czechia",21765
"United States of America (the)",21378
"Portugal",20383
"Montana",20105
"West Virginia",18881
"District of Columbia",18876
"Hungary",18169
"Arizona",16201
"Nevada",15972
"Cyprus",15386
"Wyoming",14977
"Lithuania",14962
"Kentucky",14090
"Tennessee",13835
"Switzerland",12713
"Vermont",12368
"Alaska",7855
"Uruguay",7331
"Latvia",7303
"Slovenia",7191
"Estonia",6611
"Haiti",5579
"Slovakia",4488
"Albania",4260
"Indiana",4107
"Maine",4056
"Delaware",3858
"Virgin Islands",3758
"Rhode Island",3438
"Bulgaria",3242
"Hawaii",2554
"Montenegro",1826
"Luxembourg",789
"Romania",700
"Guam",695
"Uganda",562
"American Samoa",386
"Ethiopia",352
"Ghana",335
"Sierra Leone",304
"Vanuatu",124
"Hidalgo",81
"México",62
"Peru",47
"Zambia",45
"Burkina Faso",34
"Honduras",34
"Nigeria",25
"Madagascar",21
"Mozambique",19
"N. Mariana Islands",14
"Bolivia",10
"Nepal",8
"Eswatini",8
"Rwanda",7
"Northern Mariana Islands",4
"Dominican Republic",3
"Liberia",3
"Malawi",3
"Myanmar",3
"Mali",2
"Tabasco",1
